_id,name,company,year,Price,kms_driven,fuel_type
65a8df601781205b99e8baa5,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,"80,000","45,000 kms",Petrol
65a8df601781205b99e8baa6,Mahindra Jeep CL550 MDI,Mahindra,2006,"4,25,000",40 kms,Diesel
65a8df601781205b99e8baa7,Maruti Suzuki Alto 800 Vxi,Maruti,2018,Ask For Price,"22,000 kms",Petrol
65a8df601781205b99e8baa8,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,"3,25,000","28,000 kms",Petrol
65a8df601781205b99e8baa9,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,75,000","36,000 kms",Diesel
65a8df601781205b99e8baaa,Ford EcoSport Titanium 1.5L TDCi,Ford,2015,Ask For Price,"59,000 kms",Diesel
65a8df601781205b99e8baab,Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel
65a8df601781205b99e8baac,Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol
65a8df601781205b99e8baad,Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"8,30,000","24,530 kms",Diesel
65a8df601781205b99e8baae,Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"2,50,000","60,000 kms",Petrol
65a8df601781205b99e8baaf,Skoda Fabia Classic 1.2 MPI,Skoda,2010,"1,82,000","60,000 kms",Petrol
65a8df601781205b99e8bab0,Maruti Suzuki Stingray VXi,Maruti,2015,"3,15,000","30,000 kms",Petrol
65a8df601781205b99e8bab1,Hyundai Elite i20 Magna 1.2,Hyundai,2014,"4,15,000","32,000 kms",Petrol
65a8df601781205b99e8bab2,Mahindra Scorpio SLE BS IV,Mahindra,2015,"3,20,000","48,660 kms",Diesel
65a8df601781205b99e8bab3,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,"80,000","45,000 kms",Petrol
65a8df601781205b99e8bab4,Mahindra Jeep CL550 MDI,Mahindra,2006,"4,25,000",40 kms,Diesel
65a8df601781205b99e8bab5,Audi A8,Audi,2017,"10,00,000","4,000 kms",Petrol
65a8df601781205b99e8bab6,Audi Q7,Audi,2014,"5,00,000","16,934 kms",Diesel
65a8df601781205b99e8bab7,Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel
65a8df601781205b99e8bab8,Maruti Suzuki Alto 800,Maruti,2014,"1,60,000","35,550 kms",Petrol
65a8df601781205b99e8bab9,Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel
65a8df601781205b99e8baba,Mahindra Scorpio S10,Mahindra,2016,"3,10,000","39,522 kms",Diesel
65a8df601781205b99e8babb,Maruti Suzuki Alto 800 Vxi,Maruti,2015,"75,000","39,000 kms",Petrol
65a8df601781205b99e8babc,Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000","55,000 kms",Petrol
65a8df601781205b99e8babd,Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000","55,000 kms",Petrol
65a8df601781205b99e8babe,Hyundai i20 Sportz 1.2,Hyundai,2012,"1,00,000","55,000 kms",Petrol
